code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
K532;pat_mise_en_ligne_docs_graphiq;Patrimoine – Mise en ligne – documents graphiques – total documents mis en ligne – vues;numérique;annuel
K533;pat_mise_en_ligne_docs_graph_1;Patrimoine – Mise en ligne – documents graphiques – total documents mis en ligne – documents;numérique;annuel
K534;pat_mise_en_ligne_docs_graph_2;Patrimoine – Mise en ligne – documents graphiques – documents mis en ligne dans l’année – vues;numérique;annuel
K535;pat_mise_en_ligne_docs_graph_3;Patrimoine – Mise en ligne – documents graphiques – documents mis en ligne dans l’année – documents;numérique;annuel
K537;pat_mise_en_ligne_objets_total;Patrimoine – Mise en ligne – objets – total documents mis en ligne – vues;numérique;annuel
K538;pat_mise_en_ligne_objets_tot_1;Patrimoine – Mise en ligne – objets – total documents mis en ligne – documents;numérique;annuel
K539;pat_mise_en_ligne_objets_annee;Patrimoine – Mise en ligne – objets – documents mis en ligne dans l’année – vues;numérique;annuel
K540;pat_mise_en_ligne_objets_ann_1;Patrimoine – Mise en ligne – objets – documents mis en ligne dans l’année – documents;numérique;annuel
K542;pat_mise_en_ligne_docs_sonores;Patrimoine – Mise en ligne – documents sonores – total documents mis en ligne – documents;numérique;annuel
K543;pat_mise_en_ligne_docs_sonor_1;Patrimoine – Mise en ligne – documents sonores – documents mis en ligne dans l’année – documents;numérique;annuel
K545;pat_mise_en_ligne_images_anime;Patrimoine – Mise en ligne – images animées – total documents mis en ligne – documents;numérique;annuel
K546;pat_mise_en_ligne_images_ani_1;Patrimoine – Mise en ligne – images animées – documents mis en ligne dans l’année – documents;numérique;annuel
